# HI-Small_accounts.csv(IBM AMLworld)에서 추출한 은행 참조 — HI-Small 재생 전용(HI-Large는 같은 코드에 다른 이름). country는 "<Country> Bank #N" 형식에서만 추출
bank_id,name,country
3226,Cyprus Bank #4122,Cyprus
3227,Italy Bank #3889,Italy
3228,France Bank #129,France
3229,Arbor Savings Bank,
3232,Savings Bank of Fairfield,
3233,Bank of Springfield,
3234,First Bank of the West,
3236,Arbor Trust Bank,
3237,National Bank of Tuscon,
3238,Savings Bank of the South,
3239,First Bank of Albany,
3241,National Bank of Billings,
3242,Plateau Community Bank,
3243,Slovakia Bank #138,Slovakia
3244,Arbor Community Bank,
3245,First Bank of Seattle,
3246,First Bank of the South,
3247,National Bank of Huron,
3248,Savings Bank of the South,
3250,Willows Community Bank,
3254,Savings Bank of Huron,
3258,Belgium Bank #3885,Belgium
3260,Italy Bank #132,Italy
3261,Netherlands Bank #4805,Netherlands
3262,National Bank of Lincoln,
3264,Bank of Detroit,
3268,Germany Bank #141,Germany
3271,Spain Bank #158,Spain
3272,Bank of Helena,
3274,National Bank of Los Angeles,
3276,Regents Bancorp,
3278,Baltech Community Bank,
3279,Italy Bank #4508,Italy
3283,First Bank of Fairfield,
3284,First Bank of Portsmouth,
3286,Savings Bank of Indianapolis,
3288,National Bank of Fairfield,
3290,National Bank of Detroit,
3291,Desert Credit Union,
3292,Savings Bank of Springfield,
3293,First Bank of Providence,
3296,Bank of Miami,
3298,Bank of Omaha,
3301,Capital Bancorp,
3303,First Bank of Albany,
3305,First Bank of Dallas,
3307,Slovenia Bank #3891,Slovenia
3308,Greece Bank #144,Greece
3309,Germany Bank #297,Germany
3311,Germany Bank #134,Germany
3314,Heath Federal Bank,
3316,Germany Bank #3916,Germany
3318,Germany Bank #143,Germany
3322,France Bank #140,France
3323,Belgium Bank #135,Belgium
3325,Greece Bank #11,Greece
3329,First Bank of Plattsburg,
3331,National Bank of Newbury,
3333,First Bank of Boston,
3335,Spain Bank #450,Spain
3336,Sappo Bank,
3337,Golden Credit Union,
3341,Sappo Federal Bank,
3343,Germany Bank #3893,Germany
3346,Ireland Bank #172,Ireland
3347,Italy Bank #4115,Italy
3348,Italy Bank #197,Italy
3352,Belgium Bank #4154,Belgium
3354,Belgium Bank #1114,Belgium
3357,Italy Bank #3900,Italy
3358,Spain Bank #3909,Spain
3360,Italy Bank #438,Italy
3361,Germany Bank #165,Germany
3362,Germany Bank #149,Germany
3365,Savings Bank of Dallas,
3369,Bank of Watertown,
3370,Bank of Boston,
3371,France Bank #148,France
3373,City National Federal Bank,
3374,Golden Federal Bank,
3376,Savings Bank of Tampa,
3377,Golden Trust Bank,
3378,Sea Thrift,
3381,Austria Bank #3762,Austria
3382,Future Community Bank,
3385,National Bank of Denver,
3387,Bank of Hartford,
3388,Savings Bank of Providence,
3389,Regents Bank,
3390,Hilltop Federal Bank,
3391,Acme Federal Bank,
3392,First Bank of Boston,
3393,First Bank of Omaha,
3396,National Bank of the East,
3399,Bank of Los Angeles,
3401,First Bank of Fort Wayne,
3404,Capital Bank,
3405,Bank of Omaha,
3406,National Bank of Omaha,
3408,Germany Bank #176,Germany
3409,Spain Bank #145,Spain
3410,Slovakia Bank #146,Slovakia
3411,Spain Bank #161,Spain
3412,Germany Bank #147,Germany
3414,Germany Bank #3677,Germany
3418,France Bank #150,France
3420,Savings Bank of Huron,
3423,Oasis Thrift,
3425,Savings Bank of Seattle,
3426,Baltech Community Bank,
3428,First Bank of Fairfield,
3429,Savings Bank of Huron,
3431,National Bank of the South,
3432,Oasis Bancorp,
3433,National Bank of Omaha,
3435,Desert Bancorp,
3437,Flagstone Bancorp,
3438,Savings Bank of Detroit,
3442,Savings Bank of Los Angeles,
3443,Germany Bank #3694,Germany
3444,Spain Bank #4509,Spain
3445,France Bank #153,France
3449,Spain Bank #3887,Spain
3451,Germany Bank #4119,Germany
3452,Germany Bank #4116,Germany
3454,Italy Bank #155,Italy
3455,Netherlands Bank #4121,Netherlands
3457,France Bank #584,France
3459,Ireland Bank #3614,Ireland
3460,Italy Bank #3162,Italy
3461,Belgium Bank #154,Belgium
3462,First Bank of Newbury,
3464,Germany Bank #187,Germany
3465,Germany Bank #3787,Germany
3466,Savings Bank of Denver,
3469,National Bank of Albany,
3470,Bank of Harrisburg,
3472,Future Bancorp,
3473,Austria Bank #217,Austria
3475,Sea Community Bank,
3476,Italy Bank #289,Italy
3477,Savings Bank of New York,
3480,Sea Thrift,
3481,Acme Credit Union,
3482,National Bank of Watertown,
3484,Savings Bank of Albany,
3485,First Bank of Portsmouth,
3486,Heath Bank,
3487,Arbor Federal Bank,
3488,Savings Bank of Philadelphia,
3489,Ireland Bank #71,Ireland
3490,France Bank #4120,France
3494,Savings Bank of Dallas,
3498,France Bank #157,France
3500,France Bank #487,France
3502,Netherlands Bank #3364,Netherlands
3506,France Bank #196,France
3508,Spain Bank #170,Spain
3512,Plateau Federal Bank,
3514,France Bank #28,France
3515,Germany Bank #191,Germany
3516,Italy Bank #162,Italy
3517,Germany Bank #3901,Germany
3518,Germany Bank #163,Germany
3520,Croatia Bank #3888,Croatia
3521,Spain Bank #4674,Spain
3522,Germany Bank #3920,Germany
3526,France Bank #3884,France
3527,Greece Bank #205,Greece
3528,Spain Bank #674,Spain
3529,Greece Bank #3898,Greece
3530,Germany Bank #166,Germany
3533,First Bank of Montpelier,
3536,Savings Bank of Columbus,
3537,Dawn Savings Bank,
3539,City National Savings Bank,
3540,First Bank of Watertown,
3542,First Bank of Fort Wayne,
3545,National Bank of Topeka,
3546,First Bank of Newport,
3548,First Bank of the South,
3552,Plateau Federal Bank,
3553,Dawn Bank,
3554,The Pine Savings Bank,
3555,Sunrise Cooperative Bank,
3557,Arbor Thrift,
3558,Savings Bank of Phoenix,
3559,Hearthstone Federal Bank,
3560,The Pine Cooperative Bank,
3561,Bank of Arkadelphia,
3562,France Bank #4368,France
3563,Spain Bank #181,Spain
3566,Spain Bank #3908,Spain
3567,Germany Bank #167,Germany
3568,Greece Bank #200,Greece
3570,Italy Bank #168,Italy
3571,France Bank #3892,France
3572,Croatia Bank #169,Croatia
3573,Italy Bank #4683,Italy
3575,Spain Bank #242,Spain
3578,Germany Bank #4033,Germany
3579,France Bank #185,France
3581,Italy Bank #209,Italy
3582,Italy Bank #3941,Italy
3586,Spain Bank #175,Spain
3587,National Bank of Madison,
3590,Oasis Trust Bank,
3592,Flagstone Trust Bank,
3593,Savings Bank of Newport,
3595,National Bank of Lacrosse,
3596,Bank of Providence,
3597,Heath Community Bank,
3600,Savings Bank of Augusta,
3601,Bank of Madison,
3602,First Bank of Portland,
3603,First Bank of Portsmouth,
3605,Germany Bank #366,Germany
3607,Savings Bank of Springfield,
3608,National Bank of Los Angeles,
3615,Golden Savings Bank,
3618,National Bank of Albany,
3619,First Bank of Hartford,
3622,Savings Bank of Portland,
3624,First Bank of Detroit,
3626,National Bank of Harrisburg,
3628,Savings Bank of Dallas,
3630,Savings Bank of Pittsburgh,
3632,Bank of Seattle,
3633,Savings Bank of the North,
3639,Savings Bank of Billings,
3641,National Bank of Newbury,
3646,Slovakia Bank #183,Slovakia
3647,Slovakia Bank #184,Slovakia
3650,China Bank #70,China
3652,China Bank #72,China
3653,China Bank #862,China
3655,Netherlands Bank #72,Netherlands
3657,Spain Bank #186,Spain
3659,Italy Bank #4806,Italy
3660,France Bank #4547,France
3662,Italy Bank #4938,Italy
3663,Spain Bank #193,Spain
3664,Germany Bank #190,Germany
3666,France Bank #3325,France
3672,First Bank of Arkadelphia,
3673,Sunrise Community Bank,
3675,Hilltop Credit Union,
3676,First Bank of Denver,
3677,National Bank of Columbus,
3678,National Bank of Indianapolis,
3679,Sappo Cooperative Bank,
3680,Savings Bank of Phoenix,
3683,National Bank of the West,
3685,First Bank of New Orleans,
3688,Dawn Bancorp,
3689,Plateau Federal Bank,
3690,Slovakia Bank #1007,Slovakia
3693,Bank of the South,
3695,First Bank of Los Angeles,
3698,First Bank of Springfield,
3699,First Bank of Laramie,
3700,National Bank of Indianapolis,
3701,First Bank of Lincoln,
3702,National Bank of the East,
3703,First Bank of Cleveland,
3704,Baltech Bank,
3705,First Bank of the West,
3706,Regents Bancorp,
3707,First Bank of Columbus,
3708,National Bank of Bridgeport,
3709,National Bank of Harrisburg,
3710,Capital Bank,
3711,National Bank of Portland,
3712,Heath Savings Bank,
3715,Sappo Bank,
3717,Sappo Cooperative Bank,
3718,Savings Bank of Springfield,
3727,Savings Bank of Chicago,
3730,Bank of the Valley,
3731,First Bank of Danbury,
3732,Bank of Sacramento,
3735,Bank of Milford,
3737,City National Trust Bank,
3742,Savings Bank of Tampa,
3744,Bank of Dallas,
3745,Arbor Thrift,
3746,Savings Bank of Providence,
3747,First Bank of Cleveland,
3748,Desert Cooperative Bank,
3749,First Bank of Fairfield,
3753,Bank of Cleveland,
3755,Bank of Philadelphia,
3760,Savings Bank of Chicago,
3762,National Bank of Los Angeles,
3763,Baltech Savings Bank,
3764,Bank of Montpelier,
3767,Croatia Bank #3919,Croatia
3769,Austria Bank #188,Austria
3777,Spain Bank #368,Spain
3780,Germany Bank #244,Germany
3781,Greece Bank #3927,Greece
3784,First Bank of the East,
3785,Bank of Dallas,
3787,Desert Federal Bank,
3788,Portugal Bank #211,Portugal
3790,Bank of Portland,
3792,Baltech Trust Bank,
3793,Dawn Federal Bank,
3794,First Bank of the Valley,
3796,City National Thrift,
3799,Sunrise Cooperative Bank,
3800,Baltech Thrift,
3801,Brownstone Cooperative Bank,
3802,Bank of Chicago,
3805,First Bank of Omaha,
3806,Oasis Federal Bank,
3808,First Bank of Sacramento,
3810,First Bank of Providence,
3812,National Bank of the Valley,
3820,Oak Federal Bank,
3821,Bank of Lincoln,
3823,Savings Bank of Philadelphia,
3824,Bank of Lacrosse,
3829,Desert Federal Bank,
3831,Savings Bank of Tuscon,
3832,National Bank of Indianapolis,
3836,National Bank of Denver,
3837,First Bank of Helena,
3838,National Bank of Portsmouth,
3839,Fieldstone Savings Bank,
3842,Brownstone Savings Bank,
3843,First Bank of Newport,
3849,Germany Bank #220,Germany
3850,Savings Bank of Chicago,
3852,Arbor Cooperative Bank,
3854,National Bank of Indianapolis,
3855,Hearthstone Credit Union,
3856,Lithuania Bank #406,Lithuania
3857,France Bank #199,France
3858,Netherlands Bank #344,Netherlands
3862,Greece Bank #4156,Greece
3863,Italy Bank #4349,Italy
3864,Italy Bank #253,Italy
3867,Italy Bank #3890,Italy
3870,Germany Bank #391,Germany
3872,Germany Bank #198,Germany
3875,Spain Bank #743,Spain
3878,Italy Bank #229,Italy
3880,Belgium Bank #203,Belgium
3881,France Bank #33,France
3883,Ireland Bank #222,Ireland
3884,Spain Bank #206,Spain
3885,Germany Bank #3664,Germany
3887,Spain Bank #4117,Spain
3889,Germany Bank #267,Germany
3890,Malta Bank #355,Malta
3891,National Bank of Phoenix,
3892,First Bank of Seattle,
3893,Bank of Columbus,
3895,Savings Bank of the South,
3896,First Bank of Billings,
3901,Arbor Bank,
3903,The Pine Trust Bank,
3904,National Bank of Sacramento,
3905,First Bank of the West,
3907,National Bank of Watertown,
3909,Netherlands Bank #3874,Netherlands
3911,France Bank #250,France
3912,Finland Bank #4187,Finland
3913,Spain Bank #223,Spain
3914,Netherlands Bank #241,Netherlands
3916,Savings Bank of Providence,
3917,Greece Bank #1380,Greece
3919,Germany Bank #212,Germany
3920,Regents Thrift,
3922,Hearthstone Thrift,
3923,Regents Cooperative Bank,
3926,Bank of Arkadelphia,
3928,Bank of Huron,
3931,Oak Federal Bank,
3932,Bank of Topeka,
3934,First Bank of Lincoln,
3938,First Bank of Huron,
3939,France Bank #213,France
3940,France Bank #3944,France
3945,The Pine Federal Bank,
3946,First Bank of Laramie,
3948,Savings Bank of Newport,
3949,Mountain Bancorp,
3950,Sunrise Thrift,
3951,Savings Bank of Omaha,
3953,Bank of Madison,
3956,Savings Bank of Springfield,
3957,Oasis Credit Union,
3958,National Bank of Fairfield,
3959,Desert Savings Bank,
3960,National Bank of Dallas,
3961,Plateau Community Bank,
3963,Hearthstone Community Bank,
3964,Arbor Bank,
3966,First Bank of Augusta,
3967,Savings Bank of Lincoln,
3969,First Bank of Springfield,
3970,Plandor Federal Bank,
3973,Acme Cooperative Bank,
3976,National Bank of Fairfield,
3977,National Bank of New York,
3978,Oak Thrift,
3979,Bank of Butte,
3981,Brook Bancorp,
3982,National Bank of Denver,
3983,Brook Bancorp,
3985,National Bank of Sacramento,
3988,Savings Bank of New York,
3990,Savings Bank of the West,
3994,Savings Bank of Montpelier,
3997,Mountain Community Bank,
4242,National Bank of Portland,
4259,Germany Bank #21,Germany
4403,Spruce Trust Bank,
4503,Golden Thrift,
4523,Savings Bank of Detroit,
4600,Spain Bank #123,Spain
4726,Savings Bank of Huron,
4766,First Bank of Fort Wayne,
4866,First Bank of Los Angeles,
5140,Bank of Laramie,
5175,Germany Bank #59,Germany
5328,Germany Bank #553,Germany
5329,Belgium Bank #252,Belgium
5365,France Bank #656,France
5394,First Bank of Danbury,
5425,Germany Bank #536,Germany
5464,Italy Bank #86,Italy
5466,Italy Bank #98,Italy
5627,China Bank #9,China
5836,Savings Bank of New York,
6010,Bank of Fort Wayne,
6030,Netherlands Bank #55,Netherlands
6052,Germany Bank #317,Germany
6075,Savings Bank of Billings,
6129,National Bank of Boston,
6156,Bank of Cleveland,
6179,Acme Trust Bank,
6276,National Bank of Tuscon,
6625,Portugal Bank #128,Portugal
6803,First Bank of Lacrosse,
7042,Sappo Federal Bank,
7195,Spain Bank #68,Spain
7478,Savings Bank of Huron,
7548,Germany Bank #7,Germany
7675,Germany Bank #1,Germany
8074,Spain Bank #642,Spain
8248,China Bank #39,China
8354,Bank of Pittsburgh,
8455,Slovenia Bank #777,Slovenia
8539,Netherlands Bank #411,Netherlands
8595,First Bank of Watertown,
8623,Savings Bank of Fairfield,
8771,Sappo Bank,
8798,National Bank of Arkadelphia,
8805,National Bank of Denver,
8823,France Bank #658,France
8888,Belgium Bank #417,Belgium
9129,National Bank of Danbury,
9209,China Bank #67,China
9328,China Bank #11,China
9371,Future Bank,
9417,China Bank #23,China
9482,Future Bancorp,
9571,China Bank #65,China
9587,China Bank #69,China
9608,China Bank #105,China
9665,Japan Bank #42,Japan
9679,Japan Bank #8,Japan
9691,China Bank #24,China
10057,Japan Bank #13,Japan
10060,Japan Bank #22,Japan
10099,Japan Bank #46,Japan
10232,Regents Thrift,
10344,First Bank of Tampa,
10404,Italy Bank #685,Italy
10441,Germany Bank #133,Germany
10581,Japan Bank #63,Japan
10605,Japan Bank #49,Japan
10614,National Bank of Arkadelphia,
10642,First Bank of Springfield,
10656,Japan Bank #24,Japan
10709,Italy Bank #1106,Italy
10813,Japan Bank #55,Japan
11030,City National Trust Bank,
11056,Germany Bank #214,Germany
11107,Savings Bank of New Orleans,
11128,Japan Bank #52,Japan
11157,Savings Bank of Miami,
11296,Savings Bank of Milford,
11318,First Bank of Arkadelphia,
11402,Japan Bank #53,Japan
11405,Savings Bank of Dallas,
11471,Willows Community Bank,
11474,First Bank of Butte,
11642,First Bank of New Orleans,
11657,Italy Bank #73,Italy
11687,Japan Bank #62,Japan
11808,Japan Bank #58,Japan
11813,Savings Bank of Fairfield,
11838,Japan Bank #235,Japan
11852,Netherlands Bank #4,Netherlands
11899,Bank of Butte,
11904,Bank of Billings,
11974,The Pine Federal Bank,
12004,Italy Bank #53,Italy
12019,Japan Bank #47,Japan
12129,Japan Bank #148,Japan
12278,China Bank #62,China
12359,First Bank of Tuscon,
12381,Bank of the East,
12446,Bank of Boston,
12461,France Bank #192,France
12513,Germany Bank #74,Germany
12561,Spain Bank #37,Spain
12585,The Pine Credit Union,
12719,Bank of New Orleans,
12735,Bank of Hartford,
12797,Italy Bank #304,Italy
12803,National Bank of Milford,
12893,Savings Bank of the South,
12963,Belgium Bank #79,Belgium
12979,Savings Bank of Albany,
13029,India Bank #59,India
13037,First Bank of Hartford,
13057,France Bank #35,France
13067,China Bank #204,China
13078,India Bank #36,India
13083,Italy Bank #17,Italy
13145,First Bank of Dallas,
13154,India Bank #38,India
13157,India Bank #40,India
13184,India Bank #17,India
13264,First Bank of Los Angeles,
13265,Germany Bank #137,Germany
13327,Hilltop Community Bank,
13345,Netherlands Bank #113,Netherlands
13432,Hearthstone Savings Bank,
13516,Germany Bank #16,Germany
13554,France Bank #8,France
13649,China Bank #303,China
13659,India Bank #44,India
13667,India Bank #127,India
13858,Italy Bank #97,Italy
13862,Germany Bank #58,Germany
13917,Bank of Laramie,
13959,Belgium Bank #258,Belgium
13969,India Bank #58,India
14011,Germany Bank #105,Germany
14077,Bank of Portland,
14099,Willows Thrift,
14233,Germany Bank #57,Germany
14254,Italy Bank #587,Italy
14277,Belgium Bank #677,Belgium
14290,Germany Bank #116,Germany
14325,National Bank of Huron,
14329,Austria Bank #466,Austria
14381,India Bank #49,India
14387,Bank of Montpelier,
14433,Bank of Springfield,
14549,Savings Bank of Fairfield,
14629,India Bank #148,India
14650,Greece Bank #44,Greece
14657,Germany Bank #80,Germany
14663,Germany Bank #234,Germany
14757,India Bank #41,India
14766,India Bank #67,India
14804,Spruce Savings Bank,
14814,India Bank #50,India
14838,India Bank #31,India
15010,France Bank #290,France
15040,First Bank of Harrisburg,
15055,Germany Bank #92,Germany
15085,National Bank of Laramie,
15180,Austria Bank #31,Austria
15231,Finland Bank #109,Finland
15266,India Bank #63,India
15385,India Bank #54,India
15447,National Bank of Philadelphia,
15625,National Bank of the East,
15643,Spain Bank #114,Spain
15695,National Bank of Harrisburg,
15723,Baltech Community Bank,
15730,Regents Trust Bank,
15747,First Bank of Lacrosse,
15750,Germany Bank #256,Germany
15768,First Bank of Madison,
15863,Germany Bank #39,Germany
15895,India Bank #46,India
15916,Bank of Augusta,
15964,Spain Bank #208,Spain
15980,Hilltop Bancorp,
16011,Austria Bank #107,Austria
16031,Savings Bank of Phoenix,
16109,Acme Federal Bank,
16136,Heath Savings Bank,
16163,First Bank of Boston,
16224,Capital Trust Bank,
16254,Belgium Bank #152,Belgium
16333,Plateau Credit Union,
16354,Germany Bank #124,Germany
16384,India Bank #68,India
16388,Germany Bank #19,Germany
16408,India Bank #702,India
16418,Germany Bank #62,Germany
16431,Germany Bank #159,Germany
16450,France Bank #119,France
16513,India Bank #245,India
16515,India Bank #33,India
16535,The Pine Trust Bank,
16586,Savings Bank of Danbury,
16606,Mountain Bank,
16643,Italy Bank #6,Italy
16649,Russia Bank #13,Russia
16678,Russia Bank #23,Russia
16733,Savings Bank of Springfield,
16787,Russia Bank #18,Russia
16788,Savings Bank of Sacramento,
16792,Russia Bank #25,Russia
16847,Belgium Bank #886,Belgium
16871,Italy Bank #194,Italy
16927,Russia Bank #21,Russia
16941,Spain Bank #66,Spain
16991,Netherlands Bank #127,Netherlands
17120,Russia Bank #24,Russia
17174,Germany Bank #305,Germany
17222,First Bank of Houston,
17246,Savings Bank of Newport,
17321,Austria Bank #233,Austria
17327,First Bank of Danbury,
17400,National Bank of Springfield,
17401,National Bank of the Valley,
17425,Baltech Thrift,
17491,Russia Bank #180,Russia
17554,Russia Bank #53,Russia
17610,Italy Bank #201,Italy
17615,Germany Bank #32,Germany
17649,Spain Bank #992,Spain
17708,Mountain Savings Bank,
17729,Bank of Laramie,
17732,First Bank of Albany,
17748,Bank of Cleveland,
17753,City National Bank,
17769,Netherlands Bank #507,Netherlands
17854,Italy Bank #293,Italy
17861,Germany Bank #207,Germany
17863,Spain Bank #341,Spain
17907,National Bank of Topeka,
18015,First Bank of Tampa,
18049,Spain Bank #1392,Spain
18067,China Bank #4,China
18097,China Bank #8,China
18107,China Bank #37,China
18135,China Bank #310,China
18180,Spain Bank #499,Spain
18196,China Bank #29,China
18200,China Bank #10,China
18230,France Bank #523,France
18324,Savings Bank of Topeka,
18405,Russia Bank #40,Russia
18428,Italy Bank #13,Italy
18460,Portugal Bank #473,Portugal
18475,China Bank #20,China
18511,Bank of Denver,
18549,National Bank of Omaha,
18617,First Bank of Detroit,
18679,Savings Bank of Plattsburg,
18819,Savings Bank of Newport,
18902,Sea Bank,
18951,Italy Bank #527,Italy
19023,Portugal Bank #371,Portugal
19318,China Bank #38,China
19329,First Bank of Chicago,
19353,Russia Bank #34,Russia
19474,National Bank of the South,
19477,China Bank #41,China
19535,First Bank of Tampa,
19542,Germany Bank #151,Germany
19560,Russia Bank #573,Russia
19593,China Bank #59,China
19601,Bank of Portsmouth,
19705,China Bank #56,China
19723,China Bank #15,China
19729,Heath Community Bank,
19740,China Bank #16,China
19746,First Bank of Tuscon,
19777,Spain Bank #1115,Spain
19818,China Bank #64,China
19888,Savings Bank of Butte,
19890,Hearthstone Bancorp,
19907,Russia Bank #351,Russia
19914,Russia Bank #80,Russia
19925,Japan Bank #36,Japan
20226,Spruce Bank,
20248,Ireland Bank #369,Ireland
20486,UK Bank #34,UK
20727,Germany Bank #164,Germany
20822,China Bank #35,China
20846,Spain Bank #1116,Spain
20861,France Bank #747,France
20898,Bank of Seattle,
21142,Netherlands Bank #470,Netherlands
21174,Bank of the West,
21258,Brownstone Trust Bank,
21360,Bank of Providence,
21381,China Bank #30,China
21387,Greece Bank #77,Greece
21550,First Bank of New Orleans,
21568,UK Bank #30,UK
21575,First Bank of the North,
21611,The Pine Thrift,
21615,China Bank #340,China
21641,Japan Bank #68,Japan
21745,Austria Bank #2,Austria
21749,Spain Bank #9,Spain
21813,First Bank of Los Angeles,
21831,Germany Bank #179,Germany
21884,UK Bank #33,UK
21918,Belgium Bank #87,Belgium
21922,Italy Bank #1275,Italy
21940,First Bank of Tampa,
22062,Germany Bank #851,Germany
22091,UK Bank #44,UK
22155,UK Bank #40,UK
22164,Spruce Cooperative Bank,
22205,Bank of the West,
22345,Savings Bank of Harrisburg,
22422,UK Bank #41,UK
22541,UK Bank #47,UK
22575,UK Bank #5,UK
22732,Brook Federal Bank,
22736,Plandor Savings Bank,
22758,Germany Bank #120,Germany
22775,Austria Bank #90,Austria
22806,Germany Bank #160,Germany
22828,Bank of Chicago,
22957,UK Bank #43,UK
23003,Spain Bank #112,Spain
23146,China Bank #19,China
23289,UK Bank #94,UK
23331,UK Bank #62,UK
23344,Germany Bank #99,Germany
23370,UK Bank #175,UK
23402,Bank of Fairfield,
23497,UK Bank #4,UK
23501,UK Bank #8,UK
23525,France Bank #100,France
23537,Capital Trust Bank,
23538,Bank of the West,
23554,France Bank #400,France
23555,Ireland Bank #96,Ireland
23673,UK Bank #58,UK
23691,Spain Bank #81,Spain
23700,UK Bank #307,UK
23731,UK Bank #51,UK
23776,UK Bank #63,UK
23833,Arbor Federal Bank,
23842,First Bank of Dallas,
23885,Brownstone Bancorp,
23886,UK Bank #208,UK
24032,Desert Bancorp,
24132,Savings Bank of Indianapolis,
24144,France Bank #52,France
24161,First Bank of Chicago,
24224,UK Bank #53,UK
24424,Bank of Dallas,
24482,France Bank #103,France
24515,Savings Bank of Fairfield,
24544,China Bank #225,China
24550,National Bank of Springfield,
24779,Canada Bank #1,Canada
24811,Germany Bank #594,Germany
24840,Croatia Bank #36,Croatia
24850,Italy Bank #84,Italy
24856,Canada Bank #11,Canada
24869,Savings Bank of Seattle,
24922,Canada Bank #33,Canada
24941,Canada Bank #15,Canada
24963,Germany Bank #60,Germany
25075,National Bank of Harrisburg,
25113,Canada Bank #32,Canada
25170,Canada Bank #28,Canada
25202,Canada Bank #36,Canada
25309,Croatia Bank #546,Croatia
25337,Austria Bank #1754,Austria
25382,France Bank #189,France
25534,Canada Bank #43,Canada
25536,Belgium Bank #26,Belgium
25547,First Bank of Phoenix,
25637,Arbor Bancorp,
25665,Canada Bank #25,Canada
25749,Fieldstone Federal Bank,
25768,France Bank #46,France
25847,Canada Bank #10,Canada
25866,Spain Bank #110,Spain
25960,Finland Bank #1277,Finland
25981,Bank of Helena,
26024,Hilltop Trust Bank,
